<<<<<<< HEAD
﻿Order,Door ID,Panel ID,Panel Type,Panel Block Name,Cable(s),Door Type,Devices,Device Block Names
1,D01,ACP-01,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX"
2,D02,ACP-01,ACP,ACP_FULL,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike"
3,D03,ACP-01,ACP,ACP_FULL,B,3,DC,DC_Door_Contact_Recessed
4,D04,ACP-01,ACP,ACP_FULL,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed"
5,D05,ACP-01,ACP,ACP_FULL,"A,R",5,"CR,CR,DC,ES","AC_Card_Reader,AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike"
6,D06,ACP-01,ACP,ACP_FULL,A,6,"CR,DC,DC,EP,EP","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr"
7,D07,ACP-01,ACP,ACP_FULL,A,7,"CR,DC,DC,EP,EP,AO","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr,AO_Auto_Operator"
8,D08,ACP-01,ACP,ACP_FULL,B,8,DA,DA_Duress_Alarm
9,D09,ACP-01,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX"
10,D10,ACP-01,ACP,ACP_FULL,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike"
11,D11,ACP-01,ACP,ACP_FULL,B,3,DC,DC_Door_Contact_Recessed
12,D12,ACP-01,ACP,ACP_FULL,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed"
13,D13,ACP-01,ACP,ACP_FULL,"A,R",5,"CR,CR,DC,ES","AC_Card_Reader,AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike"
14,D14,ACP-01,ACP,ACP_FULL,A,6,"CR,DC,DC,EP,EP","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr"
